,osm_type,osm_id,internal_id,query,latlong_score,name_score,name_has_substring,categories_score,address_score,addr_has_substring,confidence
676,node,2476972115,0x130e5b29716f876b:0x49caa3a505fd41ce,"dCentre, Triq il-Mina il-Kbira 2, Birgu",3.652026834340365e-05,0.8,False,1.0,0.52,False,0.7659999025166724
677,node,2334290384,0x130e5b29795b1f85:0x53dd181b61b88d4b,"Cafe du Brazil, Vittoriosa Birgu",3.864324003199485e-05,1.0,False,0.72,0.57,False,0.8004998963708921
678,node,6236973586,0x130e5b297bd541e7:0xf56159ef7a26b130,"L-Arlogg Cafè & Bistro, Triq P. Boffa",9.896226553854843e-05,0.97,False,1.0,0.67,True,0.874499721753645
679,node,690937561,0x130e5b2995d58d51:0x34a1cd5034096836,"Maritime Museum, BRG 1721, Vittoriosa Birgu",6.926420432155603e-05,0.83,True,0.83,0.83,False,0.8734998077264148
680,node,6236953585,0x130e5b29af3b2c2b:0xecff301f85beb762,"Old City Pub, Triq San Lawrenz 104",0.00020581277900307978,1.0,False,1.0,0.48,False,0.8239994124326248
681,node,2485604338,0x130e5b29f32fa597:0x1cb62ab432623db6,"Sottovento Ristorante Pizzeria, Ix-Xatt tal-Birgu, BRG 1721, Vittoriosa Birgu",0.00015637087324765016,0.5,True,1.0,0.47,False,0.7734995555617519
682,node,690937559,0x130e5b29f57dbda3:0x2b01199de0d82925,"Casino di Venezia, Ix-Xatt-tal-Birgu, Birgu",0.0004390525822747825,0.82,False,0.94,0.53,False,0.7664987372278773
683,node,2485605683,0x130e5b2a1fe0ee03:0x9766843198b7a416,"Cargo Bar & Dine, Ix-Xatt tal-Birgu, BRG 1721, Vittoriosa Birgu",0.00013770940417956473,1.0,False,1.0,0.61,False,0.830499609584746
684,node,4508807392,0x130e5b2b658b57d1:0x72ff17f75fa71692,"Esplora, Triq Marina, KKR 1320",0.00040202251181140395,0.34,True,0.83,0.34,False,0.7019988444260443
685,node,4351354095,0x130e5b2e91eed4d3:0xb814a1b7065b7d2e,"Schola Direct, Triq il-Genista",0.00011019351160332221,1.0,False,1.0,0.57,True,0.8784996892403666
686,node,4887085592,0x130e5b397f749f23:0xc547393849a5477e,"KHS Megastore, Triq Castaldi 54, ZBR1453, Żabbar",0.00012259857258471445,0.44,False,1.0,0.46,False,0.6549996533290172
687,node,197518642,0x130e5b3c0797b1bd:0xb412080122add4e8,"Triq iċ-Ċawsli, Zabbar",0.0001763258914640136,0.12,False,0.0,0.38,False,0.45499949779406884
688,node,1156266676,0x130e5b3e187746b7:0x5ab1e2d31bb28f49,"Top Choice, Triq Villabate, Zabbar",9.780562355858651e-05,0.47,True,1.0,0.74,False,0.7779997251020022
689,node,6227177585,0x130e5b3ec076b637:0x12fc23f18df3de4,"St. James pharmacy, Misraħ San Ġakbu 1, Ħaż-Żabbar",1.8748866632274455e-05,1.0,False,1.0,0.55,False,0.8274999539630148
690,node,2822413915,0x130e5b48f92bcb29:0x562115c92568f22b,Zabbar,0.010157092360019233,0.15,False,0.0,0.36,False,0.4629706045228245
691,way,389553707,0x130e5b4a41e2ebd5:0x17a300f6683c7fa3,Ix-Xgħajra,0.0007313205161746201,0.2,False,0.0,0.27,False,0.4734978911428882
692,node,6368161885,0x130e5b4bbda270c5:0xd6abb6fc8422b7fa,Triq il-Mulett,0.14112634379778569,0.0,False,0.0,0.47,False,0.423091462287768
693,node,6765235787,0x130e5b611409565f:0xf73c85a79381c031,"ottoman by posh turkish, Triq is-Santwarju",0.00016550703912576257,1.0,False,1.0,0.67,False,0.8334995291135108
694,way,279285774,0x130e5b63f47548b1:0xecf7236ea43d8d16,Marsaskala,0.0052928606174178685,0.15,False,0.0,0.53,False,0.47148468596312043
695,way,151998600,0x130e5b63ff141f0d:0xd74cfe149b9d76d3,"Inspire Therapy & Leisure Centre, Zinzell Street, MSK 4070, Marsaskala",0.00031123935365751825,0.85,False,0.22,0.73,False,0.7134991072337578
696,way,395232816,0x130e5b6432a6e12f:0x360ac9e74be1a103,"Inspire Charity Shop, Triq iz-Zinzell, Marsaskala",0.00010653985178377176,1.0,False,0.86,0.68,False,0.8199996998173283
697,node,4502573290,0x130e5b64dd5e0eb9:0x4ce367f0fbf1b52e,"Pascucci, Triq L-Omnibus",0.00010230620704860277,0.73,True,0.0,0.39,False,0.7384997120732854
698,node,3281655837,0x130e5b66b8a3b41f:0xacb47a777179f6d7,"Bellavista Pharmacy, Triq Salvu Buhagiar, Marsaskala",4.9400607280097894e-05,1.0,False,1.0,0.55,False,0.8274998652294432
699,node,4376770091,0x130e5b6b1d7d1bc1:0xceb78d8342adc064,"Pyramid Childcare Center, Triq Censu Decandia",0.00010416794132580873,0.83,True,1.0,0.54,False,0.87599970668376
700,node,585144030,0x130e5b6de6a24e33:0x4e224f2a3601dcec,"Zurrieq Police Station, Triq Santa Katerina 175, 177, ZRQ 1089, Zurrieq",2.555190795199647e-05,1.0,False,1.0,0.7,False,0.8349999342689244
701,way,277496981,0x130e5b6f165a0a77:0x1d4b84442573ec87,"Sant'Antnin Family Park, Marsaskala",0.00031492219913711487,1.0,False,0.81,0.47,True,0.8544990965723066
702,node,6090121790,0x130e5b6ff683de15:0x6ceabe8b6b86eb65,"Friends of the Earth Malta, Xatt Ic-Cangatura",2.4029981273193784e-05,1.0,False,0.33,0.69,True,0.8174999386747425
703,way,154523003,0x130e5b74da0222b5:0xc1a381e3c7d7a071,"Medelec, Bulebel Industrial Estate B33, ZTN 3000, Żejtun",0.0005491685191031575,0.48,True,0.36,0.94,False,0.7269984184537992
704,node,5287032326,0x130e5b7d3704aa2b:0x24c2d030f4f2e8f,"Tal Familja restaurant, Triq Il-Gardiel",0.0020021782388155657,1.0,False,1.0,0.5,False,0.8249942121431832
